nombre,precio_clp,precio_original_clp,en_oferta,descuento_pct,agotado,disponibilidad,descripcion,url
ADVANCED NUTRIENTS – Bud Candy (1 litro),46000,,,,,3,Marca: ADVANCED NUTRIENTS Producto: Bud Candy Contenido: 1 litro,https://lanaveespacial.cl/producto/advanced-nutrients-bud-candy-1-litro/
BIOBIZZ – Top Max (250 ml),9000,,,,,1,"DESCRIPCIÓN BIOBIZZ – Top Max (250 ml) en La Nave Espacial Growshop Puerto Montt. Sabores, matices y aromas llevados a la máxima potencia. ¿Qué es BIOBIZZ – Top Max (250 ml)? Hay tres razones excelentes para utilizar este reforzador de la floración 100% orgánico. La primera es que contiene componentes que pueden ayudar a aumentar el tamaño y el peso de los clústeres florales. La segunda, que mejora la captación de nutrientes. Y la tercera es que las plantas cultivadas con Top Max dan cosechas más dulces y de mejor sabor. La manera en que activa el flujo de nutrientes es básicamente liberando en la tierra los minerales calcio, hierro y magnesio que estimulan el metabolismo de la planta. Los beneficios de los ácidos húmicos y fúlvicos de Top Max Top Max es tremendamente eficaz gracias a los ácidos húmicos que contiene. La principal fuente de estos ácidos es una sustancia ancestral del suelo conocida como leonardita. Esta sustancia proviene de vegetación y árboles prehistóricos, que prosperaron durante el periodo carbonífero hace 300 millones de años. Los ácidos fúlvicos poseen asimismo propiedades particulares que contribuyen a un crecimiento floral sano. Estos ácidos se obtienen de fuentes excepcionalmente ricas de depósitos de humatos que se encuentran en las profundidades de la Tierra. Su carga eléctrica natural atrae los nutrientes y minerales presentes tanto en la base de suelo microbiológico como en los fertilizantes orgánicos aplicados. Los ácidos húmicos y fúlvicos trabajan conjuntamente para aumentar la energía de las células viejas de las plantas y estimular la formación de otras nuevas. ¿Cómo se utiliza BIOBIZZ – Top Max (250 ml)? Top Max se puede utilizar durante todo el periodo de floración, y funciona especialmente bien combinado con las mezclas de sustrato BIOBIZZ. En las primeras semanas de floración, recomendamos una dosis de 1 ml por litro de agua. A medida que se aproxima la recolección y antes de proceder al enjuague, la dosis se puede aumentar hasta los 4 ml por litro de agua. Consulta nuestra tabla de aplicación para obtener unos resultados óptimos. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Top Max en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-top-max-250-ml/
BIOBIZZ – Top Max (500 ml),15800,,,,,5,"DESCRIPCIÓN BIOBIZZ – Top Max (500 ml) en La Nave Espacial Growshop Puerto Montt. Sabores, matices y aromas llevados a la máxima potencia. ¿Qué es BIOBIZZ – Top Max (500 ml)? Hay tres razones excelentes para utilizar este reforzador de la floración 100% orgánico. La primera es que contiene componentes que pueden ayudar a aumentar el tamaño y el peso de los clústeres florales. La segunda, que mejora la captación de nutrientes. Y la tercera es que las plantas cultivadas con Top Max dan cosechas más dulces y de mejor sabor. La manera en que activa el flujo de nutrientes es básicamente liberando en la tierra los minerales calcio, hierro y magnesio que estimulan el metabolismo de la planta. Los beneficios de los ácidos húmicos y fúlvicos de Top Max Top Max es tremendamente eficaz gracias a los ácidos húmicos que contiene. La principal fuente de estos ácidos es una sustancia ancestral del suelo conocida como leonardita. Esta sustancia proviene de vegetación y árboles prehistóricos, que prosperaron durante el periodo carbonífero hace 300 millones de años. Los ácidos fúlvicos poseen asimismo propiedades particulares que contribuyen a un crecimiento floral sano. Estos ácidos se obtienen de fuentes excepcionalmente ricas de depósitos de humatos que se encuentran en las profundidades de la Tierra. Su carga eléctrica natural atrae los nutrientes y minerales presentes tanto en la base de suelo microbiológico como en los fertilizantes orgánicos aplicados. Los ácidos húmicos y fúlvicos trabajan conjuntamente para aumentar la energía de las células viejas de las plantas y estimular la formación de otras nuevas. ¿Cómo se utiliza BIOBIZZ – Top Max (500 ml)? Top Max se puede utilizar durante todo el periodo de floración, y funciona especialmente bien combinado con las mezclas de sustrato BIOBIZZ. En las primeras semanas de floración, recomendamos una dosis de 1 ml por litro de agua. A medida que se aproxima la recolección y antes de proceder al enjuague, la dosis se puede aumentar hasta los 4 ml por litro de agua. Consulta nuestra tabla de aplicación para obtener unos resultados óptimos. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Top Max en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-top-max-500-ml/
BIOBIZZ – Top Max (1 litro),30000,,,,,2,"DESCRIPCIÓN BIOBIZZ – Top Max (1 litro) en La Nave Espacial Growshop Puerto Montt. Sabores, matices y aromas llevados a la máxima potencia. ¿Qué es BIOBIZZ – Top Max (1 litro)? Hay tres razones excelentes para utilizar este reforzador de la floración 100% orgánico. La primera es que contiene componentes que pueden ayudar a aumentar el tamaño y el peso de los clústeres florales. La segunda, que mejora la captación de nutrientes. Y la tercera es que las plantas cultivadas con Top Max dan cosechas más dulces y de mejor sabor. La manera en que activa el flujo de nutrientes es básicamente liberando en la tierra los minerales calcio, hierro y magnesio que estimulan el metabolismo de la planta. Los beneficios de los ácidos húmicos y fúlvicos de Top Max Top Max es tremendamente eficaz gracias a los ácidos húmicos que contiene. La principal fuente de estos ácidos es una sustancia ancestral del suelo conocida como leonardita. Esta sustancia proviene de vegetación y árboles prehistóricos, que prosperaron durante el periodo carbonífero hace 300 millones de años. Los ácidos fúlvicos poseen asimismo propiedades particulares que contribuyen a un crecimiento floral sano. Estos ácidos se obtienen de fuentes excepcionalmente ricas de depósitos de humatos que se encuentran en las profundidades de la Tierra. Su carga eléctrica natural atrae los nutrientes y minerales presentes tanto en la base de suelo microbiológico como en los fertilizantes orgánicos aplicados. Los ácidos húmicos y fúlvicos trabajan conjuntamente para aumentar la energía de las células viejas de las plantas y estimular la formación de otras nuevas. ¿Cómo se utiliza BIOBIZZ – Top Max (1 litro)? Top Max se puede utilizar durante todo el periodo de floración, y funciona especialmente bien combinado con las mezclas de sustrato BIOBIZZ. En las primeras semanas de floración, recomendamos una dosis de 1 ml por litro de agua. A medida que se aproxima la recolección y antes de proceder al enjuague, la dosis se puede aumentar hasta los 4 ml por litro de agua. Consulta nuestra tabla de aplicación para obtener unos resultados óptimos. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Top Max en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-top-max-1-litro/
BIOBIZZ – Root Juice (250 ml),13500,,,,,2,"DESCRIPCIÓN BIOBIZZ – Root Juice (250 ml) en La Nave Espacial Growshop Puerto Montt. Estimulante radicular orgánico compuesto por algas marinas y ácidos húmicos premium (Leonardita). ¿Qué es BIOBIZZ – Root Juice (250 ml)? Hecho enteramente con componentes vegetales y diseñado para la horticultura orgánica, Root Juice combina dos sustancias naturales espectaculares: algas marinas y ácido húmico premium. Ha sido especialmente formulado para promover un desarrollo vigoroso de las raíces y potenciar la vida biológica natural que rodea y soporta el sistema radicular de las plantas. Desde el principio mismo, Root Juice ayuda tanto en la etapa inicial y de enraizamiento como en el crecimiento de las plantas ya enraizadas. Eso asegura que la planta esté mejor preparada para absorber más rápidamente los nutrientes, lo que se traduce en cultivos fuertes y resistentes y en la garantía de una buena cosecha para todos los cultivadores. ¿Cómo se utiliza BIOBIZZ – Root Juice (250 ml)? Root Juice es ideal para añadir a mezclas de tierra, turba y coco, así como para proporcionar una protección garantizada de las raíces en sistemas de cultivo hidropónico o aeropónico. Si se están utilizando sustratos All Mix o Light Mix, es mejor alimentar las plantas durante las primeras semanas con Root Juice, ya que este es el periodo de tiempo crucial para un enraizamiento saludable. BIOBIZZ recomienda una dosis de entre 1 y 4 ml de Root Juice por cada litro de agua. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Root Juice en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. Una Pipeta graduada (10 ml) o un Vaso graduado (30 ml) te serán de gran utilidad para dosificar tus fertilizantes y estimulantes líquidos. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-root-juice-250-ml/
BIOBIZZ – Root Juice (500 ml),22900,,,,,2,"DESCRIPCIÓN BIOBIZZ – Root Juice (500 ml) en La Nave Espacial Growshop Puerto Montt. Estimulante radicular orgánico compuesto por algas marinas y ácidos húmicos. ¿Qué es BIOBIZZ – Root Juice (500 ml)? Hecho enteramente con componentes vegetales y diseñado para la horticultura orgánica, Root Juice combina dos sustancias naturales espectaculares: algas marinas y ácido húmico premium. Ha sido especialmente formulado para promover un desarrollo vigoroso de las raíces y potenciar la vida biológica natural que rodea y soporta el sistema radicular de las plantas. Desde el principio mismo, Root Juice ayuda tanto en la etapa inicial y de enraizamiento como en el crecimiento de las plantas ya enraizadas. Eso asegura que la planta esté mejor preparada para absorber más rápidamente los nutrientes, lo que se traduce en cultivos fuertes y resistentes y en la garantía de una buena cosecha para todos los cultivadores. ¿Cómo se utiliza BIOBIZZ – Root Juice (500 ml)? Root Juice es ideal para añadir a mezclas de tierra, turba y coco, así como para proporcionar una protección garantizada de las raíces en sistemas de cultivo hidropónico o aeropónico. Si se están utilizando sustratos All Mix o Light Mix, es mejor alimentar las plantas durante las primeras semanas con Root Juice, ya que este es el periodo de tiempo crucial para un enraizamiento saludable. BIOBIZZ recomienda una dosis de entre 1 y 4 ml de Root Juice por cada litro de agua. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Root Juice en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. Una Pipeta graduada (10 ml) o un Vaso graduado (30 ml) te serán de gran utilidad para dosificar tus fertilizantes y estimulantes líquidos. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-root-juice-500-ml/
BIOBIZZ – Alg A Mic (250 ml),5500,,,,,1,"DESCRIPCIÓN BIOBIZZ – Alg A Mic (250 ml) en La Nave Espacial Growshop Puerto Montt. La manera 100% orgánica de reducir el estrés de las plantas y aumentar su productividad. ¿Qué es BIOBIZZ – Alg A Mic (250 ml)? Las plantas felices y libres de estrés producen por lo general cosechas más abundantes. Y Alg A Mic viene a su rescate si han sufrido sobrealimentación, deficiencias, enfermedades o fluctuaciones de temperatura. También asegura unas hojas verdes al estimular la absorción de clorofila. Los extractos de algas marinas Ya en el año 3000 a.C. se recogían las algas marinas para utilizarlas como alimento, medicamento o fertilizante. Alg A Mic está hecho de un concentrado de algas marinas 100% orgánicas, de alta calidad, extraídas mediante prensado en frío en lugar de utilizar disolventes químicos. Este elevado nivel de nutrición natural satisface el espectro completo de necesidades de las plantas, traduciéndose en un follaje verde y abundante. ¿Cómo se utiliza BIOBIZZ – Alg A Mic (250 ml)? Alg A Mic es un producto revitalizador que contiene un nivel bajo de NPK (nitrógeno, fósforo y potasio), lo que hace imposible su sobredosificación. Puede añadirse a cualquier sustrato durante el periodo de floración y crecimiento. Nuestra recomendación es medir una dosis de 1-4 ml de Alg A Mic por cada litro de agua, pero consulta nuestro Programa de Cultivo oficial para obtener unos resultados óptimos. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Alg A Mic en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. Una Pipeta graduada (10 ml) o un Vaso graduado (30 ml) te serán de gran utilidad para dosificar tus fertilizantes y estimulantes líquidos. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-alg-a-mic-250-ml/
BIOBIZZ – Alg A Mic (500 ml),9600,,,,,1,"DESCRIPCIÓN BIOBIZZ – Alg A Mic (500 ml) en La Nave Espacial Growshop Puerto Montt. Reduce el estrés de las plantas y aumentar su productividad. ¿Qué es BIOBIZZ – Alg A Mic (500 ml)? Las plantas felices y libres de estrés producen por lo general cosechas más abundantes. Y Alg A Mic viene a su rescate si han sufrido sobrealimentación, deficiencias, enfermedades o fluctuaciones de temperatura. También asegura unas hojas verdes al estimular la absorción de clorofila. Los extractos de algas marinas Ya en el año 3000 a.C. se recogían las algas marinas para utilizarlas como alimento, medicamento o fertilizante. Alg A Mic está hecho de un concentrado de algas marinas 100% orgánicas, de alta calidad, extraídas mediante prensado en frío en lugar de utilizar disolventes químicos. Este elevado nivel de nutrición natural satisface el espectro completo de necesidades de las plantas, traduciéndose en un follaje verde y abundante. ¿Cómo se utiliza BIOBIZZ – Alg A Mic (500 ml)? Alg A Mic es un producto revitalizador que contiene un nivel bajo de NPK (nitrógeno, fósforo y potasio), lo que hace imposible su sobredosificación. Puede añadirse a cualquier sustrato durante el periodo de floración y crecimiento. Nuestra recomendación es medir una dosis de 1-4 ml de Alg A Mic por cada litro de agua, pero consulta nuestro Programa de Cultivo oficial para obtener unos resultados óptimos. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Alg A Mic en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. Una Pipeta graduada (10 ml) o un Vaso graduado (30 ml) te serán de gran utilidad para dosificar tus fertilizantes y estimulantes líquidos. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-alg-a-mic-500-ml/
BIOBIZZ – Bio Heaven (250 ml),19000,,,,,3,"DESCRIPCIÓN BIOBIZZ – Bio Heaven (250 ml) en La Nave Espacial Growshop Puerto Montt. Estimula la actividad enzimática y la absorción de nutrientes. ¿Qué es BIOBIZZ – Bio Heaven (250 ml)? Tus plantas están deseando alcanzar el paraíso total y absoluto que les proporciona Bio Heaven. Este producto contiene estimulantes biológicos cuidadosamente seleccionados; por ejemplo aminoácidos, que son los bloques de construcción de las proteínas y las enzimas, esenciales para la estructura y el metabolismo de la planta. Como resultado, este potenciador de energía especialmente formulado no solo mejora los efectos y la translocación de los nutrientes de todas las mezclas de fertilizantes y pulverizadores foliares, sino que también ayuda a eliminar las toxinas potenciando el sistema antioxidante de las plantas y repara la producción de clorofila. Los beneficios de BIOBIZZ – Bio Heaven (250 ml) Bio Heaven estimula la actividad enzimática y una absorción de nutrientes rápida, al tiempo que aumenta los quelatos de macro y micronutrientes esenciales. Las plantas son también más capaces de retener la humedad y experimentan menos estrés hídrico como resultado. Bio Heaven proporciona también una buena fuente de ácidos carbónicos para los microorganismos en el sustrato. Como resultado, la cosecha da mejores resultados. ¿Cómo utilizarlo? Bio Heaven puede utilizarse durante toda la fase vegetativa y de floración en cualquier tipo de sustrato, mezcla de coco o con sistemas hidropónicos. Cuando se utiliza All Mix o Light Mix, la dosificación ideal es comenzar con 2 ml/L y subir lentamente hasta los 5 ml/L de agua. Consulta nuestro Programa de Cultivo para obtener unos resultados óptimos. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Bio Heaven en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. Una Pipeta graduada (10 ml) o un Vaso graduado (30 ml) te serán de gran utilidad para dosificar tus fertilizantes y estimulantes líquidos. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-bio-heaven-250-ml/
BIOBIZZ – Bio Heaven (500 ml),33500,,,,,1,"DESCRIPCIÓN BIOBIZZ – Bio Heaven (500 ml) en La Nave Espacial Growshop Puerto Montt. Estimula la actividad enzimática y la absorción de nutrientes. ¿Qué es BIOBIZZ – Bio Heaven (500 ml)? Tus plantas están deseando alcanzar el paraíso total y absoluto que les proporciona Bio Heaven. Este producto contiene estimulantes biológicos cuidadosamente seleccionados; por ejemplo aminoácidos, que son los bloques de construcción de las proteínas y las enzimas, esenciales para la estructura y el metabolismo de la planta. Como resultado, este potenciador de energía especialmente formulado no solo mejora los efectos y la translocación de los nutrientes de todas las mezclas de fertilizantes y pulverizadores foliares, sino que también ayuda a eliminar las toxinas potenciando el sistema antioxidante de las plantas y repara la producción de clorofila. Los beneficios de BIOBIZZ – Bio Heaven (500 ml) Bio Heaven estimula la actividad enzimática y una absorción de nutrientes rápida, al tiempo que aumenta los quelatos de macro y micronutrientes esenciales. Las plantas son también más capaces de retener la humedad y experimentan menos estrés hídrico como resultado. Bio Heaven proporciona también una buena fuente de ácidos carbónicos para los microorganismos en el sustrato. Como resultado, la cosecha da mejores resultados. ¿Cómo utilizarlo? Bio Heaven puede utilizarse durante toda la fase vegetativa y de floración en cualquier tipo de sustrato, mezcla de coco o con sistemas hidropónicos. Cuando se utiliza All Mix o Light Mix, la dosificación ideal es comenzar con 2 ml/L y subir lentamente hasta los 5 ml/L de agua. Consulta nuestro Programa de Cultivo para obtener unos resultados óptimos. Precauciones y advertencias Mantener fuera del alcance de los niños. No ingerir. Utilizar siguiendo las instrucciones. Links de interés Revisa la descripción completa de Bio Heaven en la página oficial de BIOBIZZ. Revisa todos los productos BIOBIZZ disponibles en La Nave Espacial. Una Pipeta graduada (10 ml) o un Vaso graduado (30 ml) te serán de gran utilidad para dosificar tus fertilizantes y estimulantes líquidos. La Nave Espacial Growshop – Smokeshop – Semillas Puerto Montt",https://lanaveespacial.cl/producto/biobizz-bio-heaven-500-ml/
